번호,명칭,상세,지정번호,지정구분,분류,수량,면적,소유자,소재지,지정일,,,,
1,윤두서자화상,,240,국가,국보,1폭,,윤형식,전라남도 해남군 해남읍 녹우당길 135,1987-12-26,,,,
2,해남 대흥사 북미륵암 마애여래좌상,,308,국가,국보,1좌,,대흥사,전라남도 해남군 삼산면 구림리 산 8-1,2005-09-28,,,,
3,탑산사명 동종,,88,국가,보물,1구,,대흥사,전라남도 해남군 삼산면 대흥사길 400,1963-01-21,,,,
4,해남 대흥사 북미륵암 삼층석탑,,301,국가,보물,1기,,대흥사,전라남도 해남군 삼산면 구림리 산 8-1,1963-01-21,,,,
5,해남 대흥사 삼층석탑,,320,국가,보물,1기,,대흥사,전라남도 해남군 삼산면 대흥사길 400,1963-01-21,,,,
6,해남윤씨 가전 고화첩,"윤씨가보 1권, 가전보회 1권, 동국여지도 1매, 일본여도 1매",481,국가,보물,일괄,,윤형식,전라남도 해남군 해남읍 녹우당길 135,1968-12-19,,,,
7,윤선도 종가 문적,"금쇄동집고 1책, 금쇄동기 1책, 산중신곡 1책, 은사첨 2책, 예조입안 1책",482,국가,보물,일괄,,윤형식,전라남도 해남군 해남읍 녹우당길 136,1968-12-19,,,,
8,윤단학 노비허여문기 및 입안,,483,국가,보물,1첨,,윤형식,전라남도 해남군 해남읍 녹우당길 141,1968-12-19,,,,
9,해남 명량대첩비,,503,국가,보물,1기,17047,이충무공유적보존회,전라남도 해남군 문내면 동외리 955-6,1969-06-16,,,,
10,해남 미황사 대웅전,,947,국가,보물,1동,2673,미황사,전라남도 해남군 송지면 미황사길 164,1988-04-01,,,,
11,해남 미황사 웅진당,,1183,국가,보물,1동,,미황사,전라남도 해남군 송지면 미황사길 164,1988-11-19,,,,
12,미황사 괘불탱,,1342,국가,보물,1폭,,미황사,전라남도 해남군 송지면 미황사길 164,2002-07-02,,,,
13,해남 대흥사 서산대사 탑,,1347,국가,보물,1기,,대흥사,전라남도 해남군 삼산면 구림리 산8-1,2002-09-25,,,,
14,해남 대흥사 서산대사 유물,,1357,국가,보물,2종 2점,,대흥사,전라남도 해남군 삼산면 대흥사길 400,2002-12-07,,,,
15,해남 대흥사 금동관음보살좌상,,1547,국가,보물,1구,,대흥사,전라남도 해남군 삼산면 대흥사길 400,2008-03-12,,,,
16,해남 대흥사 영산회 괘불탱,,1552,국가,보물,1폭(함1점),,대흥사,전라남도 해남군 삼산면 대흥사길 400,2008-03-12,,,,
17,서산대사 행초정선 사가록,,1667,국가,보물,1첩,,대흥사,전라남도 해남군 삼산면 대흥사길 400,2010-10-25,,,,
18,서동사 목조석가여래삼불좌상,,1715,국가,보물,3구,,서동사,전라남도 해남군 화원면 절골길 244,2011-06-21,,,,
19,해남 대흥사 천불전,,1807,국가,보물,1동,,대흥사,전라남도 해남군 삼산면 대흥사길 400,2003-08-05,,,,
20,해남 대흥사 석가여래삼불좌상,,1863,국가,보물,3구,,대흥사,전라남도 해남군 삼산면 대흥사길 400,2015-02-27,,,,
21,묘법연화경 목판,,1959,국가,보물,245판,,대흥사,전라남도 해남군 삼산면 대흥사길 400,2017-12-26,,,,
22,해남윤씨 녹우당 일원,,167,국가,사적,,14268,윤형식,전라남도 해남군 해남읍 녹우당길 135,1968-12-19,,,,
23,해남 진산리 청자요지,,310,국가,사적,,17553,국,전라남도 해남군 산이면 진산리 136,1985-01-04,,,,
24,해남 윤선도 유적,,432,국가,사적,,149700,국,전라남도 해남군 현산면 구시리 산181,2001-08-25,,,,
25,해남 군곡리 패총,,449,국가,사적,,83553,국,전라남도 해남군 송지면 군곡리 940,2003-07-02,,,,
26,해남 대흥사,,508,국가,사적,,60163,대흥사,전라남도 해남군 삼산면 대흥사길 400,2009-09-18,,,,
27,해남 전라우수영,,535,국가,사적,,166622,국,전라남도 해남군 문내면 서상리 109-1,2016-09-30,,,,
28,해남 달마산 미황사 일원,,59,국가,명승,,4619039,미황사,전라남도 해남군 송지면 서정리 247,1998-12-23,,,,
29,두륜산 대흥사 일원,,66,국가,명승,,8672033,대흥사,전라남도 해남군 삼산면 구림리 산8-1,2009-12-09,,,,
30,해남 대둔산 왕벚나무 자생지,,173,국가,천연기념물,,63793,대흥사,전라남도 해남군 삼산면 구림리 산24-1,1966-01-23,,,,
31,해남 녹우단 비자나무숲,,241,국가,천연기념물,,29700,윤형식,전라남도 해남군 해남읍 연동리 산27-1,1972-07-31,,,,
32,해남 우항리 공룡익룡새발자국화석산지,,394,국가,천연기념물,,1627239,국,전라남도 해남군 황산면 우항리 산13-1,1998-10-17,,,,
33,해남 성내리 수성송,,430,국가,천연기념물,1그루,900,해남군,전라남도 해남군 해남읍 성내리 4,2001-09-11,,,,
34,강강술래,,8,국가,중요무형문화재,창,,보존회,전라남도 해남군 문내면 우수영 일원,1966-02-15,,,,
35,해남 윤탁 가옥,,153,국가,중요민속문화재,일곽,1931,윤영찬,전라남도 해남군 현산면 초호길 43,1984-01-14,,,,
36,해남 윤두서 고택,,232,국가,중요민속문화재,일곽,2572,윤항식,전라남도 해남군 현산면 백포길 122,1996-02-13,,,,
37,해남 구 목포구(木浦口) 등대,"건축면적 17.2m2, 연면적 17.22m2, 등대높이 7.22. m2",379,국가,등록문화재,1동,17.2,국토해양부 목포지방 해양항만청,전라남도 해남군 화원면 매봉길 582,2008-07-14,,,,
38,대흥사 천불상,,52,도,유형문화재,1구,,대흥사,전라남도 해남군 삼산면 대흥사길 400,1974-09-24,,,,
39,은적사 철조비로자나불 좌상,,86,도,유형문화재,1구,952,은적사,전라남도 해남군 마산면 은적사길 404,1981-10-20,,,,
40,대흥사 용화당,,93,도,유형문화재,1동,,대흥사,전라남도 해남군 삼산면 대흥사길 400,1982-10-15,,,,
41,대흥사 대광명전,,94,도,유형문화재,1동,,대흥사,전라남도 해남군 삼산면 대흥사길 400,1982-10-15,,,,
42,해남 대흥사서산대사 의발등 유물일괄,,166,도,유형문화재,3종 7점,,대흥사,전라남도 해남군 삼산면 대흥사길 400,1990-02-24,,,,
43,대흥사 관음보살도,,179,도,유형문화재,2매,,대흥사,전라남도 해남군 삼산면 대흥사길 400,1991-07-19,,,,
44,옥산서실 소장품 일괄,,181,도,유형문화재,,1309,수원백씨 옥봉공파문중,전라남도 해남군 옥천면 송산리 129,1991-07-19,,,,
45,해남고산유고 목판일괄,,219,도,유형문화재,3종 305점,,윤형식,전라남도 해남군 해남읍 녹우당길 135,1999-07-05,,,,
46,해남 대흥사 대웅보전,,296,도,유형문화재,1동,,대흥사,전라남도 해남군 삼산면 대흥사길 400,2008-09-19,,,,
47,해남 약수사 불교전적,,322,도,유형문화재,7권,,약수사,전라남도 해남군 해남읍 원정동길 19-4,2015-08-06,,,,
48,해남 미황사 대웅전 목조석가여래 삼불좌상,,323,도,유형문화재,3구,,미황사,전라남도 해남군 송지면 미황사길 164,2015-08-06,,,,
49,해남 미황사 명부전 지장보살삼존상 및 사황상 일괄,,324,도,유형문화재,36구,,미황사,전라남도 해남군 송지면 미황사길 164,2015-08-06,,,,
50,해남 미황사 웅진당 목조석가여래 삼존상 및 나한상 일괄,,325,도,유형문화재,26구,,미황사,전라남도 해남군 송지면 미황사길 164,2015-08-06,,,,
51,해남 도장사 목조석가여래좌상 및 보살좌상과 복장,,343,도,유형문화재,10점,,도장사,전라남도 해남군 황산면 내산길 143,2020-12-24,,,,
52,해남 태영사 석조석가삼불좌상,,354,도,유형문화재,3구,,태영사,전라남도 해남군 북평면 천태산길 191,2022-03-17,,,,
53,우수영 부녀농요,,20,도,무형문화재,예능,,이인자,전라남도 해남군 문내면 동헌길 19-1,1987-08-25,,,,
