구분,형태,문화재명,지정년월일,번호,소 재 지,소유자/(관리자),관리자
국가지정,보물,남원양씨종중문서,1981-07-13,725,전라북도 동계면 구미2길 38,양대우,국립전주박물관
국가지정,보물,설씨부인권선문,1981-07-13,728,전라북도 순창읍 남산길 32-3,고령신씨귀래공파,국립전주박물관
국가지정,보물,월인석보 제15,2000-12-22,745-10,전라북도 복흥면 봉덕길 131-144,구암사,순창군
국가지정,중민,순창충신리석장승,1979-01-23,101,전라북도 순창읍 장류로 407-11,국 유,순창군
국가지정,중민,순창남계리석장승,1979-01-23,102,전라북도 순창읍 남계리 303-8,국 유,순창군
국가지정,중민,순창성황대신사적현판,2000-01-13,238,전라북도 순창읍 장류로 43,순창군,순창군
전라북도지정,유형,순화리삼층석탑,1973-06-23,26,전라북도 순창읍 장류로 295-11,전라북도교육감,순창군
전라북도지정,유형,순창삼인대,1973-06-23,27,전라북도 팔덕면 청계리 산271,문화류씨종중 외,순창군
전라북도지정,유형,순창객사,1974-09-27,48,전라북도 순창읍 순창7길 40,전라북도교육감,순창군
전라북도지정,유형,신경준의 고지도,1979-12-27,89,전라북도 순창읍 남산길 32-3,고령신씨귀래공파,신광희
전라북도지정,유형,강천사 오층석탑,1979-12-27,92,전라북도 팔덕면 강천산길 270,강천사,강천사주지
전라북도지정,유형,나주임씨절도공파종중유품,1992-06-20,141,전라북도 동계면 유산길 40-10,임순택,임준택
전라북도지정,유형,신말주선생의십로계첩,1992-06-20,142,전라북도 순창읍 남산길 32-3,신길수,신진식
전라북도지정,유형,남원양씨종중문서,1995-06-02,152,전라북도 동계면 귀미2길 38,양대우,양대우
전라북도지정,유형,순평사 금동여래좌상,1998-11-27,165,전라북도 순창읍 금산로 66,순평사(최태주),순평사주지
전라북도지정,유형,일광사 목조관음보살좌상,2014-10-31,229,전라북도 적성면 담순로 2168-33,일광사(전인환),일광사주지
전라북도지정,민문,산동리남근석,1979-12-27,14,전라북도 팔덕면 산동리 524,순창군,순창군
전라북도지정,민문,창덕리남근석,1979-12-27,15,전라북도 팔덕면 창덕리 1148,순창군,순창군
전라북도지정,문자,귀래정,1984-04-01,67,전라북도 순창읍 가남리 538-1,고령신씨귀래공파,신진식
전라북도지정,문자,순창향교대성전,1984-04-01,68,전라북도 순창읍 교성1길 13,전북향교재단,향교유림
전라북도지정,문자,홀어머니산성,1984-04-01,70,전라북도 순창읍 백산리 산55 외 7필지,국유,순창군
전라북도지정,문자,합미성,1984-04-01,71,전라북도 동계면 신흥리 산51 외 1필지,순창군,순창군
전라북도지정,문자,낙덕정,1984-04-01,72,전라북도 복흥면 상송리 49-1,울산김씨종중,이국현
전라북도지정,문자,구암정,1990-07-02,131,전라북도 동계면 장군목길 262-59,남원양씨종중,양승호
전라북도지정,문자,어은정,1990-07-02,132,전라북도 적성면 평남길 107-32,남원양씨종중,양수열
전라북도지정,문자,영광정,1990-07-02,134,전라북도 쌍치면 시산리 367외 1필지,순창군,송진원
전라북도지정,문자,고려직제학양수생 처 열부이씨려,2000-11-17,172,전라북도 동계면 구미리 568,남원양씨 추원재종중,남원양씨 추원재종중
전라북도지정,문자,석산리마애여래좌상,2003-05-16,184,전라북도 적성면 석산리 산 130-2,순창군,순창군
전라북도지정,문자,훈몽재 유지,2012-11-02,189,전라북도 쌍치면 둔전2길 83,순창군,순창군
전라북도지정,기념,현포보수로및중건불망비 ,1992-06-20,82,전라북도 동계면 현포리 산92 외 9필지,김해김씨삼현파종중,순창군
전라북도지정,기념,설씨부인?신경준선생유지,1994-08-10,86,전라북도 순창읍 남산길 32-3,고령신씨귀래공파,신진식
전라북도지정,기념,설진영서실,1998-01-09,96,전라북도 금과면 동전길 24,설상환,박종숙
전라북도지정,기념,강천사모과나무,1998-01-09,97,전라북도 팔덕면 청계리 산324,강천사,강천사주지
전라북도지정,기념,구암사은행나무,2004-09-10,121,전라북도 복흥면 봉덕리 산94,구암사,구암사주지
전라북도지정,기념,옥천부원군조원길묘 및 묘표,2005-12-16,124,전라북도 유등면 건곡리 산86-14,옥천조씨대종회,조계문
전라북도지정,무형,순창농요금과들소리,2005-03-11,32,전라북도 금과면 방대로 655-17,금과들소리보존회,이정호
